variant,window,auroc_micro_raw,auroc_micro_norm,auroc_macro,clips_below_chance,n_clips_scored
shanghaitech_ctx_ViT-L-14_step2,1,0.4626,0.6146,0.5691,42,105
shanghaitech_ctx_ViT-L-14_step2,5,0.4692,0.6367,0.5805,39,105
shanghaitech_ctx_ViT-L-14_step2,9,0.4734,0.6459,0.5887,38,105
shanghaitech_ctx_ViT-L-14_step2,15,0.4782,0.6578,0.6022,35,105
shanghaitech_generic_ViT-L-14_step2,1,0.4751,0.6358,0.59,33,105
shanghaitech_generic_ViT-L-14_step2,5,0.4822,0.6561,0.6003,36,105
shanghaitech_generic_ViT-L-14_step2,9,0.4861,0.6615,0.6096,34,105
shanghaitech_generic_ViT-L-14_step2,15,0.4901,0.6714,0.6211,33,105
shanghaitech_matched_ViT-L-14_step2,1,0.4626,0.6146,0.5691,42,105
shanghaitech_matched_ViT-L-14_step2,5,0.4692,0.6367,0.5805,39,105
shanghaitech_matched_ViT-L-14_step2,9,0.4734,0.6459,0.5887,38,105
shanghaitech_matched_ViT-L-14_step2,15,0.4782,0.6578,0.6022,35,105
shanghaitech_mismatched_ViT-L-14_step2,1,0.5039,0.6611,0.6158,31,105
shanghaitech_mismatched_ViT-L-14_step2,5,0.5117,0.6778,0.6269,32,105
shanghaitech_mismatched_ViT-L-14_step2,9,0.5162,0.6815,0.6352,32,105
shanghaitech_mismatched_ViT-L-14_step2,15,0.5211,0.6912,0.6476,30,105
shanghaitech_noctx_ViT-L-14_step2,1,0.4926,0.6666,0.6143,30,105
shanghaitech_noctx_ViT-L-14_step2,5,0.5022,0.6852,0.6276,32,105
shanghaitech_noctx_ViT-L-14_step2,9,0.5075,0.6914,0.6365,31,105
shanghaitech_noctx_ViT-L-14_step2,15,0.5134,0.7017,0.6482,31,105
shanghaitech_none_ViT-L-14_step2,1,0.4926,0.6666,0.6143,30,105
shanghaitech_none_ViT-L-14_step2,5,0.5022,0.6852,0.6276,32,105
shanghaitech_none_ViT-L-14_step2,9,0.5075,0.6914,0.6365,31,105
shanghaitech_none_ViT-L-14_step2,15,0.5134,0.7017,0.6482,31,105
