strategy,prompts,crops,window,dev_mean,heldout_mean,heldout_std,all_clips
margin_pooled_plus_motion5,surveillance,whole,31,0.7022,0.7108,0.0341,0.7058
margin_maxmax_plus_motion5,surveillance,whole,31,0.6993,0.6963,0.0204,0.6974
textdev_w150_plus_motion5,disjoint,whole,31,0.6992,0.7041,0.0237,0.7016
textdev_w150_plus_motion5,disjoint,whole,15,0.697,0.7015,0.0225,0.6992
margin_pooled_plus_motion1,surveillance,whole,31,0.6933,0.7038,0.0355,0.6982
margin_pooled,surveillance,whole,31,0.693,0.7181,0.0364,0.7067
motion5,-,whole,31,0.6922,0.6759,0.012,0.6837
margin_pooled_plus_motion5,surveillance,whole,15,0.6913,0.7052,0.0322,0.6981
textdev_w150_plus_motion1,disjoint,whole,31,0.6908,0.6963,0.021,0.6938
textdev_clip_plus_motion5,disjoint,whole,31,0.6908,0.6937,0.0219,0.6923
margin_maxmax_plus_motion1,surveillance,whole,31,0.6905,0.6912,0.0185,0.691
margin_maxmax_plus_motion1,campus,whole,31,0.6892,0.6845,0.0131,0.6866
margin_maxmax_plus_motion5,campus,whole,31,0.689,0.6858,0.0179,0.6874
margin_pooled,surveillance,whole,15,0.6887,0.7119,0.04,0.7017
motion1,-,whole,31,0.6882,0.6852,0.0149,0.6863
textdev_clip_plus_motion5,disjoint,whole,15,0.6881,0.6908,0.0212,0.6896
margin_maxmax_plus_motion5,union,whole,31,0.6872,0.6855,0.017,0.6863
margin_maxmax_plus_motion5,surveillance,whole,15,0.6864,0.6899,0.0208,0.6881
textdev_w150_plus_motion1,disjoint,whole,15,0.6862,0.6968,0.0225,0.6918
textdev_clip_plus_motion1,disjoint,whole,31,0.6827,0.6858,0.0188,0.6843
margin_maxmax_plus_motion1,union,whole,31,0.6824,0.6791,0.0151,0.6806
textdev_w150_plus_motion1,union,whole,31,0.6807,0.6845,0.0193,0.6821
margin_pooled_plus_motion1,surveillance,whole,15,0.6804,0.6974,0.036,0.6885
textdev_w150,disjoint,whole,31,0.6803,0.689,0.0273,0.6856
textdev_clip_plus_motion1,union,whole,31,0.6802,0.6857,0.0168,0.6827
textdev_w50_plus_motion5,disjoint,whole,31,0.6802,0.689,0.0239,0.6844
margin_maxmax_plus_motion1,surveillance,whole,15,0.6794,0.6857,0.0204,0.6824
motion1,-,whole,15,0.6782,0.6819,0.0157,0.6798
margin_pooled_plus_motion5,union,whole,31,0.6773,0.6735,0.0186,0.6748
textdev_w150_plus_motion1,disjoint,whole,5,0.6768,0.687,0.0234,0.6823
textdev_w150,disjoint,whole,15,0.6764,0.687,0.028,0.6824
motion5,-,whole,15,0.6763,0.6633,0.0104,0.6701
textdev_clip_plus_motion5,union,whole,31,0.6761,0.6828,0.0198,0.6793
textdev_w150_plus_motion5,union,whole,31,0.6759,0.6796,0.0212,0.6773
textdev_w150_plus_motion5,disjoint,whole,5,0.6759,0.6742,0.0209,0.6751
textdev_w50_plus_motion5,disjoint,whole,15,0.6752,0.6838,0.0237,0.6795
margin_pooled_plus_motion1,union,whole,31,0.6747,0.6689,0.0178,0.6714
textdev_w150_plus_motion5,surveillance,whole,15,0.6744,0.6909,0.0375,0.683
textdev_w50_plus_motion1,disjoint,whole,31,0.6744,0.686,0.0201,0.68
textdev_clip_plus_motion1,disjoint,whole,15,0.6743,0.6839,0.0209,0.6792
textdev_w150,disjoint,whole,5,0.6737,0.6864,0.0275,0.6808
margin_pooled,surveillance,whole,5,0.6733,0.695,0.0395,0.6852
textdev_w150_plus_motion1,union,whole,15,0.6717,0.6783,0.0215,0.6746
textdev_w150_plus_motion5,surveillance,whole,31,0.6712,0.6916,0.0378,0.6814
textdev_clip_plus_motion5,surveillance,whole,31,0.6707,0.6869,0.036,0.6789
textdev_clip_plus_motion5,surveillance,whole,15,0.6701,0.6827,0.0357,0.677
textdev_w150,disjoint,whole,1,0.6696,0.6824,0.0269,0.6769
textdev_clip_plus_motion1,union,whole,15,0.6691,0.6787,0.0194,0.6734
textdev_clip_plus_motion5,union,whole,15,0.6691,0.6767,0.0185,0.6727
textdev_w150_plus_motion1,surveillance,whole,31,0.6689,0.6902,0.0364,0.6798
textdev_w150_plus_motion5,union,whole,15,0.6689,0.6753,0.0206,0.6719
textdev_clip,disjoint,whole,31,0.6679,0.6759,0.024,0.6726
margin_maxmax,surveillance,whole,31,0.6677,0.6908,0.0308,0.6782
