strategy,prompts,crops,window,dev_auroc,heldout_auroc
margin_pooled,disjoint,mean,15,0.6395,0.7037
margin_maxmax,disjoint,mean,15,0.6395,0.7037
margin_pooled,disjoint,mean,5,0.6375,0.6969
margin_maxmax,disjoint,mean,5,0.6375,0.6969
margin_maxmax,campus,mean,15,0.6372,0.6372
margin_pooled,disjoint,mean,31,0.637,0.7022
margin_maxmax,disjoint,mean,31,0.637,0.7022
margin_maxmax,union,mean,15,0.6349,0.6591
margin_pooled,disjoint,mean,1,0.6345,0.6968
margin_maxmax,disjoint,mean,1,0.6345,0.6968
margin_maxmax,union,mean,31,0.6316,0.6706
margin_maxmax,campus,mean,31,0.6309,0.6608
margin_maxmax,campus,mean,5,0.6251,0.6236
margin_maxmax,union,mean,5,0.6196,0.648
margin_pooled_plus_center,disjoint,mean,15,0.6193,0.6924
margin_maxmax_plus_center,disjoint,mean,15,0.6193,0.6924
margin_pooled_plus_center,disjoint,mean,5,0.6184,0.6851
margin_maxmax_plus_center,disjoint,mean,5,0.6184,0.6851
margin_pooled_plus_center,disjoint,mean,1,0.6174,0.6795
margin_maxmax_plus_center,disjoint,mean,1,0.6174,0.6795
margin_maxmax_plus_center,campus,mean,31,0.6135,0.6504
margin_pooled_plus_center,disjoint,mean,31,0.6114,0.6995
margin_maxmax_plus_center,disjoint,mean,31,0.6114,0.6995
margin_maxmax_plus_center,campus,mean,15,0.6097,0.6431
margin_maxmax_plus_center,union,mean,31,0.6091,0.6548
margin_maxmax,campus,mean,1,0.6065,0.6102
margin_maxmax_plus_center,union,mean,15,0.6029,0.6497
margin_pooled,campus,mean,15,0.6013,0.5485
margin_maxmax,union,mean,1,0.5979,0.6355
margin_pooled,union,mean,5,0.5973,0.5791
margin_maxmax_plus_center,campus,mean,5,0.5968,0.6203
margin_pooled,union,mean,15,0.5966,0.5883
margin_maxmax_plus_center,union,mean,5,0.5941,0.6361
margin_pooled_plus_center,campus,mean,15,0.5926,0.5975
margin_pooled,campus,mean,31,0.5921,0.558
margin_pooled,campus,mean,5,0.5919,0.5357
margin_maxmax_plus_center,campus,mean,1,0.5889,0.6207
margin_pooled_plus_center,campus,mean,31,0.5882,0.6091
margin_pooled_plus_center,disjoint,max,5,0.5878,0.6569
margin_maxmax_plus_center,disjoint,max,5,0.5878,0.6569
margin_pooled_plus_center,campus,mean,5,0.5877,0.582
margin_pooled,union,mean,31,0.5872,0.5978
margin_pooled_plus_center,disjoint,max,15,0.5869,0.6645
margin_maxmax_plus_center,disjoint,max,15,0.5869,0.6645
margin_maxmax_plus_center,union,mean,1,0.5858,0.6292
margin_pooled_plus_center,union,mean,15,0.5856,0.6207
margin_pooled,union,mean,1,0.585,0.5818
margin_pooled_plus_center,union,mean,5,0.5817,0.598
margin_pooled_plus_center,campus,mean,1,0.5797,0.5747
margin_pooled_plus_center,union,mean,31,0.5792,0.6267
margin_pooled_plus_center,disjoint,max,31,0.5789,0.6685
margin_maxmax_plus_center,disjoint,max,31,0.5789,0.6685
margin_maxmax_plus_center,surveillance,max,1,0.5783,0.6453
margin_pooled_plus_center,disjoint,max,1,0.5777,0.6475
margin_maxmax_plus_center,disjoint,max,1,0.5777,0.6475
margin_maxmax,surveillance,max,1,0.577,0.6063
margin_pooled,campus,mean,1,0.5763,0.5318
margin_maxmax_plus_center,surveillance,max,5,0.5762,0.6491
margin_pooled_plus_center,surveillance,max,5,0.5757,0.6349
margin_pooled_plus_center,union,mean,1,0.574,0.5976
margin_pooled_plus_center,surveillance,max,1,0.5734,0.6285
margin_maxmax,campus,max,15,0.5727,0.6086
margin_pooled_plus_center,surveillance,max,15,0.5726,0.6367
margin_maxmax_plus_center,surveillance,max,15,0.571,0.6606
margin_pooled,surveillance,max,5,0.5692,0.6141
margin_maxmax,campus,max,31,0.569,0.6344
margin_pooled,surveillance,max,1,0.5685,0.6048
margin_maxmax_plus_center,union,max,31,0.5679,0.6485
margin_maxmax,surveillance,max,5,0.5672,0.6185
margin_maxmax,union,max,15,0.5668,0.6222
margin_maxmax_plus_center,campus,max,31,0.5649,0.6476
margin_maxmax,union,max,31,0.5646,0.6394
margin_maxmax_plus_center,surveillance,max,31,0.5601,0.6546
margin_maxmax_plus_center,union,max,15,0.56,0.6331
margin_maxmax_plus_center,campus,max,15,0.5592,0.6307
margin_pooled,disjoint,max,5,0.5561,0.6529
margin_maxmax,disjoint,max,5,0.5561,0.6529
margin_pooled_plus_center,surveillance,max,31,0.5561,0.6323
margin_pooled,surveillance,max,15,0.5559,0.5962
margin_maxmax,surveillance,max,15,0.5555,0.6205
margin_maxmax_plus_center,union,max,5,0.5528,0.6177
margin_maxmax_plus_center,surveillance,mean,5,0.5523,0.6476
margin_pooled,disjoint,max,15,0.5515,0.6659
margin_maxmax,disjoint,max,15,0.5515,0.6659
margin_maxmax_plus_center,surveillance,mean,1,0.5507,0.6522
margin_maxmax_plus_center,campus,max,5,0.5491,0.616
margin_pooled,disjoint,max,1,0.5476,0.6382
margin_maxmax,disjoint,max,1,0.5476,0.6382
margin_maxmax,campus,max,5,0.5473,0.5905
margin_pooled,disjoint,max,31,0.5464,0.6728
margin_maxmax,disjoint,max,31,0.5464,0.6728
margin_maxmax_plus_center,surveillance,mean,15,0.5461,0.6506
margin_pooled,surveillance,mean,1,0.5458,0.6319
margin_maxmax,surveillance,mean,1,0.5452,0.6345
margin_maxmax,union,max,5,0.545,0.609
margin_maxmax,surveillance,max,31,0.5449,0.6183
margin_pooled_plus_center,surveillance,mean,5,0.5445,0.6444
margin_pooled_plus_center,surveillance,mean,1,0.5437,0.6446
center,-,max,31,0.5436,0.6288
margin_maxmax_plus_center,union,max,1,0.5436,0.6075
center,-,mean,31,0.5436,0.6288
margin_maxmax_plus_center,surveillance,mean,31,0.5428,0.6469
margin_maxmax,surveillance,mean,5,0.5426,0.624
margin_pooled_plus_center,union,max,31,0.5414,0.6241
center,-,max,15,0.5413,0.6144
center,-,mean,15,0.5413,0.6144
