strategy,prompts,crops,window,dev_mean,heldout_mean,heldout_std,all_clips
margin_maxmax_plus_motion1,campus,mean,31,0.7141,0.6985,0.0172,0.7063
margin_maxmax_plus_motion5,union,mean,31,0.7127,0.6984,0.0184,0.705
margin_maxmax_plus_motion5,campus,mean,31,0.7111,0.6902,0.0165,0.7003
margin_maxmax_plus_motion1,union,mean,31,0.7103,0.7029,0.0176,0.7065
margin_maxmax_plus_motion1,campus,mean,15,0.7081,0.6945,0.0121,0.7013
textdev_w150_plus_motion5,disjoint,max,31,0.7075,0.7062,0.0243,0.7065
textdev_w150_plus_motion5,disjoint,mean,31,0.7075,0.7062,0.0243,0.7065
margin_maxmax_plus_motion5,union,mean,15,0.7067,0.6944,0.0172,0.7003
margin_maxmax_plus_motion5,campus,mean,15,0.7065,0.6896,0.0131,0.6978
margin_pooled_plus_motion5,disjoint,mean,31,0.706,0.6915,0.0184,0.6982
margin_maxmax_plus_motion5,disjoint,mean,31,0.706,0.6915,0.0184,0.6982
margin_maxmax_plus_motion1,union,mean,15,0.7044,0.6968,0.015,0.7004
textdev_clip_plus_motion5,disjoint,max,31,0.7043,0.7019,0.0236,0.7031
textdev_clip_plus_motion5,disjoint,mean,31,0.7043,0.7019,0.0236,0.7031
margin_pooled_plus_motion1,disjoint,mean,31,0.7035,0.6911,0.0193,0.6965
margin_maxmax_plus_motion1,disjoint,mean,31,0.7035,0.6911,0.0193,0.6965
textdev_w150_plus_motion5,disjoint,max,15,0.7027,0.7038,0.0242,0.703
textdev_w150_plus_motion5,disjoint,mean,15,0.7027,0.7038,0.0242,0.703
margin_pooled_plus_motion1,disjoint,mean,15,0.6986,0.69,0.0183,0.694
margin_maxmax_plus_motion1,disjoint,mean,15,0.6986,0.69,0.0183,0.694
textdev_clip_plus_motion5,disjoint,max,15,0.6973,0.6976,0.0232,0.6975
textdev_clip_plus_motion5,disjoint,mean,15,0.6973,0.6976,0.0232,0.6975
margin_pooled_plus_motion5,disjoint,mean,15,0.6965,0.6879,0.0174,0.6918
margin_maxmax_plus_motion5,disjoint,mean,15,0.6965,0.6879,0.0174,0.6918
textdev_w150_plus_motion1,disjoint,max,31,0.6953,0.698,0.0215,0.6966
textdev_w150_plus_motion1,disjoint,mean,31,0.6953,0.698,0.0215,0.6966
margin_maxmax_plus_motion5,union,max,31,0.6944,0.6766,0.0231,0.6846
margin_maxmax_plus_motion5,campus,max,31,0.6943,0.6814,0.0224,0.6876
margin_maxmax_plus_motion1,campus,max,31,0.694,0.6888,0.023,0.6916
margin_maxmax_plus_motion1,campus,mean,5,0.6931,0.6872,0.0098,0.6901
margin_maxmax_plus_motion1,union,max,31,0.6929,0.6821,0.0234,0.6871
textdev_clip_plus_motion1,disjoint,max,31,0.6927,0.6945,0.021,0.6936
margin_maxmax_plus_motion1,union,mean,5,0.6927,0.6898,0.0129,0.691
