strategy,prompts,crops,window,dev_mean,heldout_mean,heldout_std,all_clips
textdev_clip_plus_motion5,matched,max,31,0.6951,0.7139,0.0318,0.7045
textdev_clip_plus_motion5,matched,mean,31,0.6951,0.7139,0.0318,0.7045
textdev_w150_plus_motion5,matched,max,31,0.6942,0.7121,0.0326,0.7031
textdev_w150_plus_motion5,matched,mean,31,0.6942,0.7121,0.0326,0.7031
motion5,-,max,31,0.6922,0.6759,0.012,0.6837
motion5,-,mean,31,0.6922,0.6759,0.012,0.6837
textdev_clip_plus_motion1,matched,max,31,0.6903,0.7108,0.0344,0.7008
textdev_clip_plus_motion1,matched,mean,31,0.6903,0.7108,0.0344,0.7008
motion1,-,max,31,0.6882,0.6852,0.0149,0.6863
motion1,-,mean,31,0.6882,0.6852,0.0149,0.6863
textdev_w150_plus_motion1,matched,max,31,0.6873,0.7092,0.0355,0.6983
textdev_w150_plus_motion1,matched,mean,31,0.6873,0.7092,0.0355,0.6983
textdev_w150_plus_motion5,matched,max,15,0.686,0.7009,0.033,0.6936
textdev_w150_plus_motion5,matched,mean,15,0.686,0.7009,0.033,0.6936
textdev_clip_plus_motion5,matched,max,15,0.6844,0.7006,0.0331,0.6927
textdev_clip_plus_motion5,matched,mean,15,0.6844,0.7006,0.0331,0.6927
margin_maxmax_plus_motion5,matched,max,31,0.6824,0.6701,0.0224,0.6757
textdev_clip_plus_motion5,none,max,31,0.6819,0.6965,0.0377,0.6889
textdev_clip_plus_motion5,none,mean,31,0.6819,0.6965,0.0377,0.6889
margin_maxmax_plus_motion5,matched,max,15,0.6799,0.6614,0.0199,0.6707
textdev_w150_plus_motion5,none,max,15,0.6784,0.6947,0.0381,0.6866
textdev_w50_plus_motion5,matched,max,31,0.6784,0.6912,0.0289,0.6844
textdev_w150_plus_motion5,none,mean,15,0.6784,0.6947,0.0381,0.6866
textdev_w50_plus_motion5,matched,mean,31,0.6784,0.6912,0.0289,0.6844
motion1,-,max,15,0.6782,0.6819,0.0157,0.6798
textdev_w50_plus_motion1,matched,max,31,0.6782,0.6954,0.03,0.6864
motion1,-,mean,15,0.6782,0.6819,0.0157,0.6798
textdev_w50_plus_motion1,matched,mean,31,0.6782,0.6954,0.03,0.6864
textdev_w150_plus_motion5,none,max,31,0.6781,0.6959,0.0392,0.6865
textdev_w150_plus_motion5,none,mean,31,0.6781,0.6959,0.0392,0.6865
margin_maxmax_plus_motion1,matched,max,31,0.6779,0.6694,0.026,0.6732
textdev_w150_plus_motion1,matched,max,15,0.6776,0.7007,0.0371,0.6894
textdev_w150_plus_motion1,matched,mean,15,0.6776,0.7007,0.0371,0.6894
textdev_clip_plus_motion5,none,max,15,0.6773,0.691,0.0366,0.6845
textdev_clip_plus_motion5,none,mean,15,0.6773,0.691,0.0366,0.6845
textdev_clip_plus_motion1,matched,max,15,0.6766,0.7002,0.0368,0.6888
textdev_clip_plus_motion1,matched,mean,15,0.6766,0.7002,0.0368,0.6888
motion5,-,max,15,0.6763,0.6633,0.0104,0.6701
motion5,-,mean,15,0.6763,0.6633,0.0104,0.6701
textdev_clip_plus_motion1,none,max,31,0.6759,0.6911,0.0369,0.6835
textdev_clip_plus_motion1,none,mean,31,0.6759,0.6911,0.0369,0.6835
margin_maxmax_plus_motion1,matched,max,15,0.6753,0.6674,0.0262,0.6717
margin_pooled_plus_motion5,matched,max,31,0.6738,0.6511,0.0212,0.6619
textdev_clip_plus_motion5,mismatched,max,31,0.6738,0.6834,0.0311,0.6784
textdev_clip_plus_motion5,mismatched,mean,31,0.6738,0.6834,0.0311,0.6784
textdev_w150_plus_motion1,none,max,31,0.6724,0.6907,0.037,0.6813
textdev_w150_plus_motion1,none,mean,31,0.6724,0.6907,0.037,0.6813
margin_pooled_plus_motion1,matched,max,31,0.6718,0.6553,0.0269,0.6632
margin_pooled_plus_motion5,matched,max,15,0.6717,0.6494,0.0207,0.6606
textdev_w150_plus_motion1,matched,max,5,0.6711,0.6939,0.0339,0.6829
textdev_w150_plus_motion1,matched,mean,5,0.6711,0.6939,0.0339,0.6829
textdev_clip_plus_motion1,mismatched,max,31,0.6694,0.6811,0.0306,0.6749
textdev_clip_plus_motion1,mismatched,mean,31,0.6694,0.6811,0.0306,0.6749
textdev_clip_plus_motion5,generic,max,31,0.6691,0.6821,0.0408,0.6755
textdev_clip_plus_motion5,generic,mean,31,0.6691,0.6821,0.0408,0.6755
margin_pooled_plus_motion1,matched,max,15,0.6685,0.6549,0.0306,0.6614
textdev_clip_plus_motion1,generic,max,31,0.6685,0.6882,0.0381,0.6786
