strategy,prompts,crops,window,dev_mean,heldout_mean,heldout_std,all_clips
margin_maxmax_plus_motion5,matched,whole,31,0.6979,0.7119,0.0271,0.7047
margin_maxmax_plus_motion1,matched,whole,31,0.6963,0.7161,0.0303,0.7059
margin_pooled_plus_motion5,matched,whole,31,0.6951,0.7139,0.0318,0.7045
textdev_clip_plus_motion5,matched,whole,31,0.6951,0.7139,0.0318,0.7045
textdev_w150_plus_motion5,matched,whole,31,0.6942,0.7121,0.0326,0.7031
motion5,-,whole,31,0.6922,0.6759,0.012,0.6837
margin_pooled_plus_motion1,matched,whole,31,0.6903,0.7108,0.0344,0.7008
textdev_clip_plus_motion1,matched,whole,31,0.6903,0.7108,0.0344,0.7008
motion1,-,whole,31,0.6882,0.6852,0.0149,0.6863
margin_maxmax_plus_motion5,matched,whole,15,0.6876,0.6965,0.0265,0.6918
textdev_w150_plus_motion1,matched,whole,31,0.6873,0.7092,0.0355,0.6983
textdev_w150_plus_motion5,matched,whole,15,0.686,0.7009,0.033,0.6936
margin_pooled_plus_motion5,matched,whole,15,0.6844,0.7006,0.0331,0.6927
textdev_clip_plus_motion5,matched,whole,15,0.6844,0.7006,0.0331,0.6927
margin_maxmax_plus_motion5,none,whole,31,0.6838,0.69,0.0336,0.6862
margin_maxmax_plus_motion5,mismatched,whole,31,0.6838,0.69,0.0336,0.6862
margin_maxmax_plus_motion1,matched,whole,15,0.683,0.7032,0.0312,0.6928
margin_maxmax_plus_motion5,generic,whole,31,0.6828,0.6889,0.0338,0.6852
margin_pooled_plus_motion5,none,whole,31,0.6819,0.6965,0.0377,0.6889
textdev_clip_plus_motion5,none,whole,31,0.6819,0.6965,0.0377,0.6889
margin_maxmax_plus_motion1,none,whole,31,0.6813,0.6885,0.0324,0.6841
margin_maxmax_plus_motion1,mismatched,whole,31,0.6813,0.6885,0.0324,0.6841
margin_maxmax_plus_motion5,none,whole,15,0.6803,0.6868,0.0332,0.6834
margin_maxmax_plus_motion5,mismatched,whole,15,0.6803,0.6868,0.0332,0.6834
margin_maxmax_plus_motion1,generic,whole,31,0.6799,0.6869,0.0328,0.6825
