strategy,prompts,crops,window,dev_mean,heldout_mean,heldout_std,all_clips
margin_pooled,matched,whole,31,0.7242,0.7399,0.0309,0.7336
margin_maxmax_plus_motion5,matched,whole,31,0.7177,0.7108,0.0226,0.7133
margin_maxmax_plus_motion1,matched,whole,31,0.7127,0.7143,0.0243,0.7126
margin_pooled_plus_motion5,matched,whole,31,0.7109,0.7103,0.0244,0.7103
margin_maxmax_plus_motion5,matched,whole,15,0.7048,0.7009,0.0229,0.7025
margin_pooled_plus_motion1,matched,whole,31,0.7043,0.7097,0.0262,0.7066
margin_pooled,matched,whole,15,0.7029,0.72,0.033,0.7132
margin_pooled_plus_motion5,none,whole,31,0.7022,0.7108,0.0341,0.7058
margin_maxmax,matched,whole,31,0.7009,0.722,0.025,0.7116
margin_pooled_plus_motion5,matched,whole,15,0.7003,0.7012,0.0256,0.7006
margin_maxmax_plus_motion5,none,whole,31,0.6993,0.6963,0.0204,0.6974
margin_maxmax_plus_motion5,mismatched,whole,31,0.6993,0.6963,0.0204,0.6974
margin_maxmax_plus_motion1,matched,whole,15,0.6991,0.7061,0.0249,0.7019
margin_maxmax_plus_motion5,generic,whole,31,0.6959,0.6949,0.021,0.6951
margin_pooled_plus_motion1,none,whole,31,0.6933,0.7038,0.0355,0.6982
margin_pooled_plus_motion5,generic,whole,31,0.6931,0.7008,0.0343,0.6965
margin_pooled,none,whole,31,0.693,0.7181,0.0364,0.7067
motion5,-,whole,31,0.6922,0.6759,0.012,0.6837
margin_pooled_plus_motion1,matched,whole,15,0.6922,0.7035,0.0289,0.6975
margin_pooled_plus_motion5,none,whole,15,0.6913,0.7052,0.0322,0.6981
margin_maxmax_plus_motion1,none,whole,31,0.6905,0.6912,0.0185,0.691
margin_maxmax_plus_motion1,mismatched,whole,31,0.6905,0.6912,0.0185,0.691
margin_pooled,none,whole,15,0.6887,0.7119,0.04,0.7017
motion1,-,whole,31,0.6882,0.6852,0.0149,0.6863
margin_maxmax_plus_motion1,generic,whole,31,0.6872,0.6895,0.0193,0.6885
margin_pooled_plus_motion5,generic,whole,15,0.6868,0.6978,0.0327,0.6924
margin_maxmax_plus_motion5,none,whole,15,0.6864,0.6899,0.0208,0.6881
margin_maxmax_plus_motion5,mismatched,whole,15,0.6864,0.6899,0.0208,0.6881
margin_pooled_plus_motion1,generic,whole,31,0.6861,0.6982,0.0345,0.6919
margin_maxmax_plus_motion5,generic,whole,15,0.6842,0.6889,0.021,0.6866
textdev_w150_plus_motion5,matched,whole,31,0.683,0.702,0.0337,0.6923
margin_pooled,matched,whole,5,0.6818,0.6992,0.0342,0.6924
margin_pooled_plus_motion1,generic,whole,15,0.6815,0.6988,0.0349,0.69
margin_pooled_plus_motion1,none,whole,15,0.6804,0.6974,0.036,0.6885
margin_maxmax_plus_motion1,none,whole,15,0.6794,0.6857,0.0204,0.6824
margin_maxmax_plus_motion1,mismatched,whole,15,0.6794,0.6857,0.0204,0.6824
textdev_clip_plus_motion5,matched,whole,31,0.6792,0.6998,0.0319,0.6891
motion1,-,whole,15,0.6782,0.6819,0.0157,0.6798
textdev_w150_plus_motion1,matched,whole,31,0.6778,0.7007,0.0365,0.6894
margin_maxmax_plus_motion1,generic,whole,15,0.6769,0.6848,0.0209,0.6807
margin_maxmax_plus_motion5,matched,whole,5,0.6767,0.6767,0.0215,0.6763
textdev_w150_plus_motion5,matched,whole,15,0.6767,0.6918,0.0337,0.6844
motion5,-,whole,15,0.6763,0.6633,0.0104,0.6701
margin_pooled,generic,whole,31,0.6754,0.7034,0.0375,0.6907
margin_pooled,generic,whole,15,0.675,0.7005,0.0403,0.689
margin_pooled_plus_motion5,matched,whole,5,0.675,0.6759,0.0253,0.6756
textdev_w150_plus_motion5,none,whole,15,0.6744,0.6909,0.0375,0.683
textdev_clip_plus_motion1,matched,whole,31,0.6741,0.6958,0.0345,0.685
margin_pooled,none,whole,5,0.6733,0.695,0.0395,0.6852
margin_maxmax,matched,whole,15,0.6729,0.6933,0.0229,0.6828
margin_maxmax_plus_motion1,matched,whole,5,0.6719,0.6876,0.026,0.6789
textdev_w150_plus_motion5,none,whole,31,0.6712,0.6916,0.0378,0.6814
textdev_clip_plus_motion5,none,whole,31,0.6707,0.6869,0.036,0.6789
margin_pooled_plus_motion1,matched,whole,5,0.6701,0.6911,0.0287,0.6803
textdev_clip_plus_motion5,none,whole,15,0.6701,0.6827,0.0357,0.677
textdev_clip_plus_motion5,matched,whole,15,0.6698,0.6842,0.0323,0.6768
textdev_w150_plus_motion1,matched,whole,15,0.6694,0.6932,0.0389,0.6815
textdev_w150_plus_motion1,none,whole,31,0.6689,0.6902,0.0364,0.6798
margin_maxmax,none,whole,31,0.6677,0.6908,0.0308,0.6782
margin_maxmax,mismatched,whole,31,0.6677,0.6908,0.0308,0.6782
margin_maxmax,generic,whole,31,0.6664,0.6894,0.0319,0.6768
